model,model_key,active_params_B,architecture,topic,openalex_works,n_refs,title_match_rate,relevance,title_quality
Llama 3.3 70B,llama_3_3_70b,70,dense,Democratic elections,48258,8,0.75,0.625,0.4688
Llama 3.3 70B,llama_3_3_70b,70,dense,Digital financial services,34424,10,0.5,0.75,0.375
Llama 3.3 70B,llama_3_3_70b,70,dense,Economics,767282,10,1.0,0.9,0.9
Llama 3.3 70B,llama_3_3_70b,70,dense,Education,5921253,9,0.8889,0.7778,0.6914
Llama 3.3 70B,llama_3_3_70b,70,dense,Energy,8631334,10,0.3,0.95,0.285
Llama 3.3 70B,llama_3_3_70b,70,dense,Environmental Science,247835,10,0.9,0.85,0.765
Llama 3.3 70B,llama_3_3_70b,70,dense,Girls education,71707,10,0.5,0.9,0.45
Llama 3.3 70B,llama_3_3_70b,70,dense,Health,8504910,10,0.8,0.8,0.64
Llama 3.3 70B,llama_3_3_70b,70,dense,Infectious disease,469401,10,0.9,0.9,0.81
Llama 3.3 70B,llama_3_3_70b,70,dense,Insecticide-treated bed nets for malaria,1331,9,0.3333,0.8333,0.2778
Llama 3.3 70B,llama_3_3_70b,70,dense,Malaria prevention,13463,10,0.9,0.65,0.585
Llama 3.3 70B,llama_3_3_70b,70,dense,Microfinance loan repayment,1341,10,0.5,0.5,0.25
Llama 3.3 70B,llama_3_3_70b,70,dense,Mini-grid electrification,747,10,0.3,0.75,0.225
Llama 3.3 70B,llama_3_3_70b,70,dense,Mobile banking,17971,10,0.3,0.95,0.285
Llama 3.3 70B,llama_3_3_70b,70,dense,Political Science,285942,10,1.0,0.95,0.95
Llama 3.3 70B,llama_3_3_70b,70,dense,Renewable energy,501950,10,0.0,0.85,0.0
Llama 3.3 70B,llama_3_3_70b,70,dense,Rural electrification,9391,10,0.4,0.7,0.28
Llama 3.3 70B,llama_3_3_70b,70,dense,School dropout,19413,10,0.7,0.95,0.665
Llama 3.3 70B,llama_3_3_70b,70,dense,School dropout prevention programs in rural areas,32,10,0.1,0.8,0.08
Llama 3.3 70B,llama_3_3_70b,70,dense,Voter turnout,10283,10,0.9,0.8,0.72
Mistral Large 2,mistral_large_2_123b,123,dense,Biometric voter registration,171,10,0.0,1.0,0.0
Mistral Large 2,mistral_large_2_123b,123,dense,Climate change,1222665,10,0.9,0.85,0.765
Mistral Large 2,mistral_large_2_123b,123,dense,Climate change adaptation in agriculture,25815,10,0.5,0.75,0.375
Mistral Large 2,mistral_large_2_123b,123,dense,Climate-smart agriculture for smallholder farmers,1406,10,0.1,0.8,0.08
Mistral Large 2,mistral_large_2_123b,123,dense,Democratic elections,48258,10,0.9,0.7,0.63
Mistral Large 2,mistral_large_2_123b,123,dense,Digital financial services,34424,10,0.4,0.9,0.36
Mistral Large 2,mistral_large_2_123b,123,dense,Economics,767282,10,1.0,0.85,0.85
Mistral Large 2,mistral_large_2_123b,123,dense,Education,5921253,10,0.9,0.8,0.72
Mistral Large 2,mistral_large_2_123b,123,dense,Energy,8631334,10,0.6,0.9,0.54
Mistral Large 2,mistral_large_2_123b,123,dense,Environmental Science,247835,10,0.1,0.95,0.095
Mistral Large 2,mistral_large_2_123b,123,dense,Girls education,71707,10,0.1,0.95,0.095
Mistral Large 2,mistral_large_2_123b,123,dense,Health,8504910,10,0.9,0.75,0.675
Mistral Large 2,mistral_large_2_123b,123,dense,Infectious disease,469401,10,0.8,0.9,0.72
Mistral Large 2,mistral_large_2_123b,123,dense,Insecticide-treated bed nets for malaria,1331,9,0.3333,0.7222,0.2407
Mistral Large 2,mistral_large_2_123b,123,dense,Malaria prevention,13463,10,0.0,0.95,0.0
Mistral Large 2,mistral_large_2_123b,123,dense,Microfinance loan repayment,1341,10,0.5,0.65,0.325
Mistral Large 2,mistral_large_2_123b,123,dense,Mini-grid electrification,747,7,0.0,0.7857,0.0
Mistral Large 2,mistral_large_2_123b,123,dense,Mobile banking,17971,10,0.0,1.0,0.0
Mistral Large 2,mistral_large_2_123b,123,dense,Political Science,285942,10,1.0,1.0,1.0
Mistral Large 2,mistral_large_2_123b,123,dense,Renewable energy,501950,10,0.6,0.95,0.57
Mistral Large 2,mistral_large_2_123b,123,dense,Rural electrification,9391,10,0.1,1.0,0.1
Mistral Large 2,mistral_large_2_123b,123,dense,School dropout,19413,10,0.6,0.95,0.57
Mistral Large 2,mistral_large_2_123b,123,dense,School dropout prevention programs in rural areas,32,10,0.4,0.65,0.26
Mistral Large 2,mistral_large_2_123b,123,dense,Voter turnout,10283,7,0.5714,0.7857,0.449
Mistral Medium 3.1,mistral_medium_31_250b,250,dense,Biometric voter registration,171,10,0.2,0.85,0.17
Mistral Medium 3.1,mistral_medium_31_250b,250,dense,Climate change,1222665,8,1.0,0.9375,0.9375
Mistral Medium 3.1,mistral_medium_31_250b,250,dense,Climate change adaptation in agriculture,25815,9,0.8889,0.8333,0.7407
Mistral Medium 3.1,mistral_medium_31_250b,250,dense,Climate-smart agriculture for smallholder farmers,1406,10,0.3,0.65,0.195
Mistral Medium 3.1,mistral_medium_31_250b,250,dense,Democratic elections,48258,10,0.8,0.55,0.44
Mistral Medium 3.1,mistral_medium_31_250b,250,dense,Digital financial services,34424,10,0.8,0.85,0.68
Mistral Medium 3.1,mistral_medium_31_250b,250,dense,Economics,767282,9,1.0,0.8889,0.8889
Mistral Medium 3.1,mistral_medium_31_250b,250,dense,Education,5921253,10,0.9,0.85,0.765
Mistral Medium 3.1,mistral_medium_31_250b,250,dense,Energy,8631334,9,0.8889,0.8333,0.7407
Mistral Medium 3.1,mistral_medium_31_250b,250,dense,Environmental Science,247835,10,1.0,0.95,0.95
Mistral Medium 3.1,mistral_medium_31_250b,250,dense,Girls education,71707,10,0.7,0.75,0.525
Mistral Medium 3.1,mistral_medium_31_250b,250,dense,Health,8504910,10,0.6,0.8,0.48
Mistral Medium 3.1,mistral_medium_31_250b,250,dense,Infectious disease,469401,10,1.0,1.0,1.0
Mistral Medium 3.1,mistral_medium_31_250b,250,dense,Insecticide-treated bed nets for malaria,1331,10,0.5,0.8,0.4
Mistral Medium 3.1,mistral_medium_31_250b,250,dense,Malaria prevention,13463,10,0.7,0.85,0.595
Mistral Medium 3.1,mistral_medium_31_250b,250,dense,Microfinance loan repayment,1341,10,0.8,0.45,0.36
Mistral Medium 3.1,mistral_medium_31_250b,250,dense,Mini-grid electrification,747,10,0.2,0.65,0.13
Mistral Medium 3.1,mistral_medium_31_250b,250,dense,Mobile banking,17971,10,0.5,0.9,0.45
Mistral Medium 3.1,mistral_medium_31_250b,250,dense,Political Science,285942,10,1.0,1.0,1.0
Mistral Medium 3.1,mistral_medium_31_250b,250,dense,Renewable energy,501950,10,0.9,0.9,0.81
Mistral Medium 3.1,mistral_medium_31_250b,250,dense,Rural electrification,9391,10,0.3,1.0,0.3
Mistral Medium 3.1,mistral_medium_31_250b,250,dense,School dropout,19413,7,0.7143,1.0,0.7143
